2024-03-16T17:34:33.076Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-16T17:34:33.800Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-16T17:35:36.202Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-16T17:35:36.872Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-16T17:37:51.278Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-16T17:37:52.094Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-16T19:33:30.798Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-16T19:34:01.808Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-17T19:15:38.207Z [info] ::ffff:127.0.0.1:/order/ui-design | GET

2024-03-17T22:01:19.797Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-17T22:01:27.999Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-17T22:08:50.494Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-17T22:08:51.282Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-17T22:09:37.246Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-17T22:09:38.295Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

